date, pm25, pm10, o3, no2, so2, co
2014/3/7, 25, 10, 27, 8, 1, 1
2014/3/8, 27, 13, 34, 5, 1, 1
2014/3/9, 54, 6, 25, 11, 1, 1
2014/3/10, 33, 14, 22, 16, 1, 2
2014/3/11, 37, 23, 15, 12, 3, 3
2014/3/12, 56, 26, 19, 9, 3, 3
2014/3/13, 67, 18, 19, 1, 1, 1
2014/3/14, 58, 16, 26, 2, 1, 1
2014/3/15, 44, 11, 31, , , 1
2014/3/16, 34, , , , , 
2014/3/18, 32, 8, 30, 6, 2, 
2014/3/19, 26, 15, 31, 4, 2, 
2014/3/20, 37, 6, 34, 5, 2, 1
2014/3/21, 20, 7, 32, 4, 2, 1
2014/3/22, 23, 7, 31, 4, 3, 1
2014/3/23, 18, 6, 29, 11, 3, 1
2014/3/24, 18, 15, 27, 12, 3, 2
2014/3/25, 36, 18, 20, 12, 3, 1
2014/3/26, 54, 18, 34, 7, 3, 
2014/3/27, 33, 18, 32, 4, 3, 1
2014/3/28, 41, 16, 33, 4, 3, 1
2014/3/29, 37, 34, 31, 4, 3, 1
2014/3/30, 111, 30, 35, 7, 3, 1
2014/3/31, 80, 14, 33, 8, 3, 1
2020/1/1, , 17, 14, 3, 2, 
2020/1/31, , 5, 24, 2, 2, 
2019/7/11, , 11, 19, 7, 5, 1
2019/7/19, , 5, 12, , 8, 
2019/8/31, , 5, 17, 7, 5, 
2019/1/1, , 12, 22, 12, , 3
2019/1/16, , 8, 18, 14, 2, 
2018/7/17, , 8, , , , 
2018/7/23, , 5, 18, 4, 1, 
2018/1/1, , 5, 16, 11, 7, 9
2018/1/15, , 4, 23, 9, 8, 6
2018/1/28, , 12, 28, 5, 1, 1
2018/1/29, , 10, 28, 10, 2, 1
2018/1/30, , 5, 29, 2, 2, 1
2018/3/3, , 8, 29, 2, 6, 4
2018/3/7, , 7, 26, 10, 13, 6
2018/3/12, , 5, 18, 3, 3, 1
2017/11/23, , 8, 10, 18, 1, 6
2017/12/27, , 7, 7, 20, 6, 8
2017/7/31, , 7, 18, 6, 8, 9
2017/9/9, , 6, 19, , 9, 7
2017/9/10, , 6, 17, 6, 8, 7
2017/2/10, , 17, 24, 11, 1, 2
2017/3/1, , 4, 19, 18, 7, 
2016/7/16, , 10, 18, 3, 6, 
2016/7/23, , 10, 14, 4, 7, 
2016/8/11, , 6, 14, 3, 5, 
2016/4/18, , 19, 15, 15, 10, 5
2016/6/19, , 10, , , , 
2016/1/4, , 7, 16, 4, 7, 
2016/1/29, , 15, 24, 4, 5, 
2016/2/11, , 7, 14, 28, 4, 
2015/10/18, , 12, 13, 13, 3, 2
2015/12/29, , 7, 20, 5, 5, 
2015/8/3, , 12, 26, 2, 2, 3
2015/8/4, , 13, 23, 4, 2, 3
2015/8/5, , 12, 21, 7, 2, 3
2015/8/6, , 14, 21, 9, 2, 3
2015/8/7, , 13, 25, 4, 2, 2
2015/8/8, , 10, 19, 1, 2, 2
2015/8/9, , 11, 19, 4, 3, 3
2015/8/10, , 11, 17, 9, 3, 3
2015/8/11, , 13, 20, 9, 4, 3
2015/9/2, , 5, 13, 12, , 2
2015/9/12, , 5, 21, 5, 1, 3
2015/9/13, , 10, 18, 11, 2, 3
2015/9/14, , 12, 16, 13, 3, 4
2015/5/12, , 10, 22, 5, 1, 1
2015/1/1, , 4, 25, 2, 2, 
2015/1/30, , 8, 12, 20, 3, 
2015/2/1, , 12, 21, 13, 3, 1
2015/2/2, , 15, 9, 28, 5, 1
2014/12/11, , 9, , , , 
2014/12/25, , 13, 15, 18, 5, 3
2014/12/26, , 17, 1, 23, 4, 3
2014/12/27, , 8, 9, 22, 3, 1
2014/12/28, , 7, 9, 23, 3, 2
2014/8/10, , 9, 17, 7, , 3
2014/8/20, , 5, 15, 11, 2, 
2014/1/1, , 8, 24, 6, 2, 
2014/2/7, , 14, 18, 16, 3, 1
2014/3/17, , 11, 26, 6, 2, 
2019/7/10, , , 19, 6, 5, 
2019/1/12, , , 24, 8, 7, 3
2019/1/13, , , 27, 7, 8, 3
2019/1/14, , , 21, 14, 7, 4
2018/7/12, , , 18, 9, 1, 
2018/7/13, , , 28, 2, 2, 
2018/7/14, , , 25, 2, 2, 
2018/7/15, , , 25, 5, 2, 
2018/7/16, , , 16, 7, 2, 1
2018/7/20, , , 18, 3, 1, 
2018/7/21, , , 13, 2, 1, 
2018/7/22, , , 18, 3, 1, 
2018/1/13, , , 12, 8, 9, 10
2018/1/14, , , 18, 3, 10, 11
2017/7/28, , , 20, 3, 8, 8
2017/7/29, , , 21, 2, 8, 8
2017/7/30, , , 19, 3, 8, 8
2017/2/9, , , 21, 9, 1, 2
2017/2/27, , , 22, 11, 4, 
2017/3/8, , , 25, 5, 2, 
2017/3/9, , , 17, , , 
2016/7/15, , , 23, 4, 6, 
2016/7/22, , , 15, 3, 7, 
2016/8/10, , , 11, 7, 5, 
2015/7/31, , , 21, 2, 1, 2
2015/8/1, , , 21, 4, 2, 2
2015/8/2, , , 26, 2, 2, 2
2015/1/29, , , 19, 16, 2, 
2014/8/8, , , 7, 13, 2, 3
